,Age,DistanceFromHome,EmpEducationLevel,EmpEnvironmentSatisfaction,EmpHourlyRate,EmpJobInvolvement,EmpJobLevel,EmpJobSatisfaction,NumCompaniesWorked,EmpLastSalaryHikePercent,EmpRelationshipSatisfaction,TotalWorkExperienceInYears,TrainingTimesLastYear,EmpWorkLifeBalance,ExperienceYearsAtThisCompany,ExperienceYearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,PerformanceRating,attrition__No,attrition__Yes,overtime__No,overtime__Yes,business_travel_freq__Non-Travel,business_travel_freq__Travel_Frequently,business_travel_freq__Travel_Rarely,empjobrole__Business Analyst,empjobrole__Data Scientist,empjobrole__Delivery Manager,empjobrole__Developer,empjobrole__Finance Manager,empjobrole__Healthcare Representative,empjobrole__Human Resources,empjobrole__Laboratory Technician,empjobrole__Manager,empjobrole__Manager R&D,empjobrole__Manufacturing Director,empjobrole__Research Director,empjobrole__Research Scientist,empjobrole__Sales Executive,empjobrole__Sales Representative,empjobrole__Senior Developer,empjobrole__Senior Manager R&D,empjobrole__Technical Architect,empjobrole__Technical Lead,empdep_Data Science,empdep_Development,empdep_Finance,empdep_Human Resources,empdep_Research & Development,empdep_Sales,maritalstatus__Divorced,maritalstatus__Married,maritalstatus__Single,edubackground__Human Resources,edubackground__Life Sciences,edubackground__Marketing,edubackground__Medical,edubackground__Other,edubackground__Technical Degree,gender__Female,gender__Male,emp_number
12,30,27,5,3,99,3,2,4,7,23,4,10,2,2,8,7,7,7,4,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1001025
13,29,10,3,3,99,3,1,3,1,11,3,1,6,3,1,0,0,0,3,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,1001027
14,42,19,3,3,57,4,1,3,6,12,4,7,2,3,2,2,2,2,3,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1001030
15,34,8,2,2,96,3,2,3,3,11,4,10,2,3,5,1,4,3,3,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1001035
16,39,3,3,3,44,4,2,2,9,15,3,12,3,1,8,3,3,6,3,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,1001038
17,56,9,3,3,81,3,4,4,7,11,3,30,1,2,10,7,1,1,3,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1001040
18,40,2,1,4,86,2,1,4,0,20,4,5,2,2,4,2,2,3,4,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1001041
19,27,7,3,4,55,2,2,1,8,19,1,9,2,1,7,6,0,7,3,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1001042
20,29,10,3,4,83,3,1,2,1,14,4,2,2,3,2,2,2,2,3,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1001044
21,53,6,3,4,86,3,2,4,2,17,4,19,4,3,2,2,2,2,3,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1001047
22,35,2,4,4,61,3,2,1,2,11,1,16,2,4,1,0,0,0,3,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1001049
23,32,24,4,1,80,3,2,4,1,15,4,10,2,3,10,8,4,7,3,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1001050
24,34,8,5,2,32,3,2,1,3,14,3,7,3,3,0,0,0,0,3,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1001053
25,52,3,4,3,31,2,4,1,1,11,1,34,3,4,34,6,1,16,4,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,1001054
26,33,1,4,4,63,3,1,4,1,13,3,10,2,2,10,9,7,8,3,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1001058
27,25,26,1,3,32,3,2,4,1,23,2,6,5,2,6,5,1,4,4,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1001059
28,45,2,2,2,46,1,2,3,0,13,1,9,3,3,8,7,3,1,3,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,1001061
29,23,10,1,1,79,4,1,3,1,18,4,2,3,3,2,2,0,2,3,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1001062
30,47,27,2,2,77,4,2,3,4,12,4,8,2,3,5,4,1,3,3,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1001063
31,34,2,3,4,60,3,2,4,1,22,3,6,5,3,6,5,1,4,4,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1001064
32,36,8,4,1,76,2,3,1,1,15,2,10,1,3,10,7,0,9,3,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,1001067
33,52,19,4,4,41,3,1,4,0,18,1,5,3,3,4,3,1,2,3,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1001069
34,26,1,2,1,71,1,1,4,3,14,1,5,2,3,2,2,2,0,3,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1001070
35,29,27,3,2,66,3,2,3,4,12,1,11,3,2,8,7,1,1,3,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1001071
36,26,8,3,4,38,2,2,1,6,17,3,6,2,2,4,3,1,2,3,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,1001074
37,34,1,4,2,72,4,1,4,2,16,3,10,2,3,4,2,1,3,3,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1001075
38,54,19,4,4,95,3,2,1,9,11,2,9,4,3,5,3,1,4,3,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1001077
39,27,8,1,3,84,3,2,4,0,19,2,5,3,3,4,2,1,1,3,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,1001078
40,37,10,1,4,82,3,1,1,0,13,2,6,3,2,5,3,4,3,3,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1001080
41,38,2,4,1,75,4,2,1,6,12,4,17,2,3,15,7,4,12,3,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1001081
42,34,2,4,3,86,2,1,1,1,11,3,6,3,3,6,5,1,3,3,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1001082
43,35,8,4,1,72,3,1,4,1,16,2,3,1,2,3,2,0,2,3,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1001083
44,40,2,2,3,38,4,2,2,1,24,4,8,2,3,8,7,3,7,4,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1001085
45,34,8,2,3,93,3,2,1,5,17,2,6,1,3,3,2,1,2,3,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1001086
46,24,9,3,3,60,2,1,2,1,11,3,1,4,3,1,0,0,0,3,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1001090
47,52,11,4,4,82,3,2,3,8,20,2,9,3,3,5,2,1,4,4,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1001091
48,50,2,3,3,64,3,4,3,5,16,4,30,3,3,4,3,0,3,3,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1001093
49,29,1,2,2,36,2,1,1,1,11,4,1,1,3,1,0,0,0,3,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1001094
50,33,7,3,3,49,3,3,3,0,11,4,14,3,4,13,9,3,7,3,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1001095
51,33,16,3,1,69,3,2,1,5,15,3,6,3,3,3,2,0,2,3,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1001097
52,47,2,2,3,33,3,4,4,1,11,3,26,3,2,26,14,3,0,3,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1001098
53,36,1,3,3,35,3,2,2,0,15,1,10,2,3,9,7,0,5,3,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1001101
54,29,23,2,3,81,4,1,3,1,24,3,10,3,3,10,7,0,7,4,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1001102
55,35,1,4,4,40,4,1,3,3,13,3,7,0,3,2,2,2,2,3,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1001104
56,42,1,2,4,43,2,2,4,9,13,4,8,4,3,4,3,0,2,3,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1001105
57,28,2,4,3,46,3,1,3,6,17,4,5,3,2,2,2,2,1,3,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1001106
58,36,13,3,3,36,3,1,2,4,13,2,8,2,3,5,2,0,4,3,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1001107
59,40,16,4,1,51,2,2,3,6,14,4,10,6,3,1,0,0,0,3,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1001110
60,30,2,3,3,52,2,2,4,5,24,2,12,4,2,0,0,0,0,4,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1001111
61,45,2,3,2,95,2,1,3,1,14,4,1,3,3,1,0,0,0,3,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1001112
62,42,29,3,2,98,3,2,2,1,13,4,10,3,2,9,8,7,8,3,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1001114
63,38,12,3,1,45,2,2,1,2,15,3,13,3,2,4,3,1,2,3,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1001115
64,49,11,3,3,43,3,3,4,1,18,1,9,3,4,9,8,7,7,3,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1001118
65,55,2,1,3,37,3,2,4,4,16,3,12,3,2,9,7,7,3,3,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1001120
66,43,14,2,2,94,3,4,1,6,24,3,22,3,3,4,1,1,0,3,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1001121
67,27,5,1,3,42,2,3,4,1,16,2,9,3,3,9,8,0,8,3,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1001122
68,35,7,3,3,59,3,3,3,3,21,2,17,3,4,8,5,1,6,4,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1001123
69,28,2,4,2,81,3,2,2,1,20,1,8,2,3,8,7,7,5,3,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1001124
70,26,5,2,3,88,2,1,3,1,14,1,8,2,3,8,7,1,7,3,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1001126
71,27,3,3,4,50,3,1,4,1,11,3,0,6,2,0,0,0,0,3,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1001128
72,51,26,4,1,66,3,4,3,2,14,3,29,2,2,20,6,4,17,3,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1001129
73,44,4,3,4,50,3,2,2,9,12,4,10,2,2,5,2,2,3,3,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1001130
74,25,2,1,1,65,4,1,1,7,13,3,6,3,2,4,3,0,1,3,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1001132
75,35,27,1,3,53,2,1,1,1,11,4,6,3,2,6,5,1,1,3,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1001134
76,36,1,2,2,56,3,2,4,1,14,4,18,1,2,18,14,4,11,3,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,1001135
77,53,7,2,1,78,2,3,4,7,18,4,35,3,3,5,2,0,4,3,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1001140
78,45,9,3,4,74,3,3,1,4,12,3,18,2,3,5,4,0,2,3,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1001142
79,32,8,2,3,91,4,2,3,5,12,3,9,3,2,5,3,1,3,3,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1001143
80,37,16,4,4,66,2,2,3,4,19,4,9,2,3,1,0,0,0,3,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1001146
81,28,8,2,2,63,2,1,4,1,13,4,6,6,3,5,1,0,4,3,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1001147
82,22,1,2,4,33,2,2,4,6,22,1,4,2,1,2,2,2,2,3,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1001150
83,44,8,4,1,62,4,1,4,2,24,3,10,2,2,3,2,0,2,3,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1001152
84,42,2,1,2,35,3,1,4,5,14,4,8,2,3,2,1,2,2,3,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1001153
85,36,8,3,1,77,2,1,1,0,21,3,6,3,3,5,4,0,3,3,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1001156
86,25,3,1,3,98,3,2,1,1,18,4,5,3,3,5,3,0,3,3,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,1001157
87,35,25,4,4,96,3,1,2,1,19,1,10,3,2,10,2,7,8,3,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1001159
88,32,1,3,4,61,3,1,4,0,12,2,4,2,3,3,0,0,2,3,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1001160
89,49,1,3,3,36,3,1,1,2,16,2,7,2,3,4,2,0,2,3,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1001165
90,24,4,1,1,46,2,1,4,0,17,4,6,2,2,5,2,3,4,3,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1001166
91,32,5,2,2,48,3,2,2,1,14,4,10,3,3,10,8,5,3,3,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,1001167
92,38,9,3,2,98,2,1,2,0,19,4,3,3,3,2,2,1,2,3,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,1001171
93,31,11,4,4,48,3,1,4,3,19,2,8,2,3,6,4,0,2,3,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1001173
94,53,8,3,1,73,3,4,4,5,14,3,28,3,3,2,0,2,2,3,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,1001175
95,37,21,2,3,54,3,1,4,5,15,2,10,3,3,5,4,0,0,3,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1001178
